speed,Class,Region,Year,Month,Day,start_hour,start_minute,end_hour,end_minute,duration_min,start_hour_sin,start_hour_cos,quarter,day_of_year,region_activity
9236,X,9.13097243659261,2000,11,24,14,51,15,21,921,-0.4999999999999997,-0.8660254037844388,4,329,2.6390573296152584
9236,X,9.13097243659261,2000,11,24,4,55,5,8,308,0.8660254037844386,0.5000000000000001,4,329,2.6390573296152584
9236,X,9.13097243659261,2000,11,24,21,43,22,12,1332,-0.7071067811865477,0.7071067811865474,4,329,2.6390573296152584
9240,X,9.13097243659261,2000,11,25,18,33,18,55,1135,-1.0,-1.8369701987210297e-16,4,330,2.6390573296152584
9240,X,9.13140538388804,2000,11,25,0,59,2,1,121,0.0,1.0,4,330,1.3862943611198906
9236,X,9.13097243659261,2000,11,25,18,33,18,55,1135,-1.0,-1.8369701987210297e-16,4,330,2.6390573296152584
9236,X,9.13140538388804,2000,11,25,0,59,2,1,121,0.0,1.0,4,330,1.3862943611198906
9236,X,9.13097243659261,2000,11,25,18,33,18,55,1135,-1.0,-1.8369701987210297e-16,4,330,2.6390573296152584
9236,X,9.13140538388804,2000,11,25,0,59,2,1,121,0.0,1.0,4,330,1.3862943611198906
9236,X,9.13097243659261,2000,11,26,16,34,16,56,1016,-0.8660254037844385,-0.5000000000000004,4,331,2.6390573296152584
9313,X,9.139273923542323,2001,1,20,21,6,21,32,1292,-0.7071067811865477,0.7071067811865474,1,20,1.0986122886681098
9313,X,9.139273923542323,2001,1,20,21,6,21,32,1292,-0.7071067811865477,0.7071067811865474,1,20,1.0986122886681098
9368,M,9.145161645951188,2001,3,10,4,0,4,7,247,0.8660254037844386,0.5000000000000001,1,69,0.6931471805599453
9393,X,9.14782646658694,2001,3,29,9,57,10,32,632,0.7071067811865476,-0.7071067811865475,1,88,2.0794415416798357
9393,X,9.14782646658694,2001,4,2,21,32,22,3,1323,-0.7071067811865477,0.7071067811865474,2,92,2.0794415416798357
9393,X,9.14782646658694,2001,4,2,10,4,10,20,620,0.49999999999999994,-0.8660254037844387,2,92,2.0794415416798357
9393,X,9.14782646658694,2001,4,2,10,58,12,5,725,0.49999999999999994,-0.8660254037844387,2,92,2.0794415416798357
9393,X,9.14782646658694,2001,4,2,21,32,22,3,1323,-0.7071067811865477,0.7071067811865474,2,92,2.0794415416798357
9393,X,9.14782646658694,2001,4,2,10,4,10,20,620,0.49999999999999994,-0.8660254037844387,2,92,2.0794415416798357
9393,X,9.14782646658694,2001,4,2,10,58,12,5,725,0.49999999999999994,-0.8660254037844387,2,92,2.0794415416798357
9415,X,9.150165648940114,2001,4,3,3,25,4,55,295,0.7071067811865476,0.7071067811865476,2,93,1.9459101490553132
9393,X,9.1503780308035,2001,4,5,8,37,9,54,594,0.8660254037844387,-0.4999999999999998,2,95,0.6931471805599453
9415,X,9.150165648940114,2001,4,6,19,10,19,31,1171,-0.9659258262890684,0.2588190451025203,2,96,1.9459101490553132
9415,X,9.150165648940114,2001,4,9,15,20,16,0,960,-0.7071067811865471,-0.7071067811865479,2,99,1.9459101490553132
9415,X,9.150165648940114,2001,4,10,5,6,5,42,342,0.9659258262890683,0.25881904510252074,2,100,1.9459101490553132
9415,X,9.150165648940114,2001,4,12,9,39,10,49,649,0.7071067811865476,-0.7071067811865475,2,102,1.9459101490553132
9415,X,9.150165648940114,2001,4,15,13,19,13,55,835,-0.2588190451025208,-0.9659258262890683,2,105,1.9459101490553132
9433,X,9.152075463844207,2001,4,26,11,26,13,19,799,0.258819045102521,-0.9659258262890682,2,116,0.6931471805599453
9502,M,9.159362817211315,2001,6,15,10,1,10,20,620,0.49999999999999994,-0.8660254037844387,2,166,1.0986122886681098
8040,M,9.159362817211315,2001,6,15,10,1,10,20,620,0.49999999999999994,-0.8660254037844387,2,166,1.0986122886681098
9591,X,9.16868469670735,2001,8,25,16,23,17,4,1024,-0.8660254037844385,-0.5000000000000004,3,237,0.6931471805599453
9616,M,9.170455438277267,2001,9,16,3,39,4,18,258,0.7071067811865476,0.7071067811865476,3,259,1.0986122886681098
9616,X,9.170455438277267,2001,9,17,15,44,15,54,954,-0.7071067811865471,-0.7071067811865479,3,260,1.0986122886681098
9632,X,9.172949982757624,2001,9,24,9,32,11,9,669,0.7071067811865476,-0.7071067811865475,3,267,0.6931471805599453
9628,X,9.172534657240284,2001,10,1,4,41,5,23,323,0.8660254037844386,0.5000000000000001,4,274,0.6931471805599453
9661,X,9.175955945114351,2001,10,19,0,47,1,13,73,0.0,1.0,4,292,1.6094379124341003
9661,X,9.175955945114351,2001,10,19,16,13,16,43,1003,-0.8660254037844385,-0.5000000000000004,4,292,1.6094379124341003
9661,M,9.175645402179295,2001,10,19,9,35,9,55,595,0.7071067811865476,-0.7071067811865475,4,292,1.0986122886681098
9661,X,9.175955945114351,2001,10,19,0,47,1,13,73,0.0,1.0,4,292,1.6094379124341003
9661,X,9.175955945114351,2001,10,19,16,13,16,43,1003,-0.8660254037844385,-0.5000000000000004,4,292,1.6094379124341003
9661,M,9.175645402179295,2001,10,19,9,35,9,55,595,0.7071067811865476,-0.7071067811865475,4,292,1.0986122886681098
9672,X,9.177093778182547,2001,10,22,17,44,18,14,1094,-0.9659258262890683,-0.25881904510252063,4,295,1.3862943611198906
9672,M,9.177093778182547,2001,10,22,14,27,15,31,931,-0.4999999999999997,-0.8660254037844388,4,295,1.3862943611198906
9672,X,9.177093778182547,2001,10,25,14,42,15,28,928,-0.4999999999999997,-0.8660254037844388,4,298,1.3862943611198906
9684,X,9.178333575841096,2001,11,4,16,3,16,57,1017,-0.8660254037844385,-0.5000000000000004,4,308,0.6931471805599453
9698,X,9.18039649560311,2001,11,22,22,32,0,6,6,-0.5000000000000004,0.8660254037844384,4,326,1.0986122886681098
9704,X,9.18039649560311,2001,11,22,22,32,0,6,6,-0.5000000000000004,0.8660254037844384,4,326,1.0986122886681098
9727,X,9.1833801903934,2001,12,11,7,58,8,14,494,0.9659258262890683,-0.25881904510252063,4,345,0.6931471805599453
9742,X,9.184304357425342,2001,12,26,4,32,6,47,407,0.8660254037844386,0.5000000000000001,4,360,0.6931471805599453
9756,X,9.18686701579054,2001,12,28,20,2,21,32,1292,-0.8660254037844386,0.5000000000000001,4,362,0.6931471805599453
9742,X,9.184919994629272,2001,12,29,9,38,10,6,606,0.7071067811865476,-0.7071067811865475,4,363,0.6931471805599453
9772,M,8.182279739259018,2002,1,14,5,29,8,25,505,0.9659258262890683,0.25881904510252074,1,14,3.4339872044851463
9825,M,8.182279739259018,2002,2,21,11,56,12,36,756,0.258819045102521,-0.9659258262890682,1,52,3.4339872044851463
9871,M,9.197457746145169,2002,3,17,19,24,19,34,1174,-0.9659258262890684,0.2588190451025203,1,76,0.6931471805599453
9893,X,9.199683791787654,2002,4,10,12,23,12,40,760,1.2246467991473532e-16,-1.0,2,100,1.0986122886681098
9906,M,9.199683791787654,2002,4,15,23,34,0,25,25,-0.25881904510252157,0.9659258262890681,2,105,1.0986122886681098
