date,start_time,end_date,speed
2002/02/01,19:23,02/01,DIM
2002/02/21,12:35,02/21,9825
2002/03/11,00:00,03/11,9866
2002/03/12,00:00,03/12,9870
2002/03/15,22:45,03/15,9866
2002/03/17,06:00,03/17,9871
2002/03/18,02:55,03/18,9873
2002/03/22,11:30,03/22,9866
2002/03/22,13:10,03/22,9866
2002/04/10,12:59,04/10,9893
2002/04/14,07:50,04/14,9893
2002/04/15,03:35,04/15,9906
2002/04/17,08:30,04/19,9906
2002/04/21,01:30,04/21,9906
2002/04/30,14:15,04/30,9934
2002/04/30,22:30,04/30,DIM
2002/05/02,23:50,05/03,----
2002/05/16,01:50,05/16,9948
2002/05/22,00:00,05/22,9948
2002/05/27,12:50,05/27,9967
2002/07/07,11:35,07/07,10017
2002/07/09,19:46,07/09,DIM
2002/07/15,21:15,07/16,10030
2002/07/17,07:30,07/17,10030
2002/07/18,07:55,07/18,10030
2002/07/18,20:55,07/18,10036
2002/07/19,16:40,07/19,-----
2002/07/20,21:30,07/20,10039
2002/07/23,00:50,07/23,10039
2002/07/26,22:27,07/26,10039
2002/07/29,12:10,07/29,EP
2002/08/03,19:20,08/03,10039
2002/08/14,02:20,08/14,10061
2002/08/16,06:15,08/16,10061
2002/08/16,12:20,08/17,10069
2002/08/22,02:50,08/22,10069
2002/08/24,01:45,08/24,10069
2002/09/05,16:55,09/07,10102
2002/09/10,15:19,09/10,10105
2002/09/27,13:35,09/27,10134
2002/10/13,18:10,10/13,10150
2002/10/14,00:19,10/14,10159
2002/10/14,14:35,10/14,DIM
2002/10/27,23:06,10/28,-----
2002/11/09,13:20,11/10,10180
2002/11/10,03:20,11/10,10180
2002/11/11,16:15,11/11,10180
2002/11/24,20:05,11/24,EP
2002/12/19,21:45,12/19,10229
2002/12/22,04:20,12/22,10223
2003/01/20,19:10,01/20,EP
2003/01/27,22:20,01/27,EP
2003/03/18,12:25,03/18,10314
2003/03/18,13:55,03/18,DIM
2003/03/19,02:30,03/19,DIM
2003/04/22,07:25,04/22,DIM
2003/05/27,23:12,05/27,10365
2003/05/28,01:00,05/29,10365
2003/05/29,01:10,05/29,10365
2003/05/31,03:00,05/31,10365
2003/06/05,00:00,06/05,DIM
2003/06/16,00:00,06/16,10386
2003/06/17,22:50,06/18,10386
2003/07/10,14:10,07/10,10397
2003/08/19,11:15,08/19,10431
2003/10/21,04:10,10/21,-----
2003/10/26,07:00,10/26,10486
2003/10/26,17:45,10/26,10484
2003/10/28,11:10,10/29,10486
2003/10/29,20:55,10/29,10486
2003/11/01,22:55,11/02,10486
2003/11/02,09:23,11/02,DIM
2003/11/02,17:30,11/03,10486
2003/11/03,01:15,11/03,10488
2003/11/03,10:00,11/03,10488
2003/11/04,20:00,11/04,10486
2003/11/09,00:00,11/09,DIM
2003/11/11,00:00,11/11,DIM
2003/11/13,09:35,11/13,10501
2003/11/17,09:05,11/17,10501
2003/11/18,00:00,11/18,10501
2003/11/18,10:15,11/18,10508
2003/12/02,11:00,12/02,10508
2004/01/05,03:40,01/05,10536
2004/01/06,06:40,01/06,10537
2004/01/07,04:15,01/07,10537
2004/01/07,10:35,01/07,10537
2004/04/06,13:05,04/06,10588
2004/04/08,10:25,04/08,10588
2004/04/08,13:30,04/08,10588
2004/04/11,04:20,04/11,10588
2004/06/02,23:13,06/02,DIM
2004/06/03,16:48,06/03,DIM
2004/06/04,07:50,06/04,DIM
2004/06/22,22:07,06/22,10635
2004/06/23,06:30,06/23,10635
2004/07/23,19:00,07/23,10652
2004/07/25,15:00,07/26,10652
2004/07/29,13:20,07/30,10652
2004/07/31,07:10,07/31,10652
2004/08/08,09:15,08/08,-----
2004/09/12,00:45,09/13,10672
2004/09/19,17:15,09/19,10672
2004/10/24,03:12,10/24,10687
2004/10/30,06:40,10/30,10691
2004/11/01,05:55,11/01,DIM
2004/11/03,15:55,11/03,10696
2004/11/03,03:35,11/03,10696
2004/11/06,01:50,11/06,10696
2004/11/07,16:25,11/08,10696
2004/11/09,17:35,11/09,10696
2004/11/10,02:25,11/10,10696
2004/12/03,00:07,12/04,10708
2004/12/08,20:05,12/08,10709
2004/12/29,16:35,12/29,10715
2004/12/30,23:45,12/31,10715
2005/01/01,00:45,01/01,10715
2005/01/04,11:20,01/04,10715
2005/01/15,06:15,01/15,10720
2005/01/15,23:00,01/17,10720
2005/01/17,09:25,01/17,10720
2005/01/17,10:00,01/17,10720
2005/01/19,09:20,01/20,10720
2005/01/20,07:15,01/20,10720
2005/02/01,11:40,02/01,-----
2005/05/02,22:40,05/02,10758
2005/05/03,00:20,05/03,10758
2005/05/06,17:52,05/06,10758
2005/05/13,17:00,05/15,10759
2005/05/17,03:20,05/17,DIM
2005/06/03,12:50,06/03,10775
2005/06/16,20:25,06/16,10775
2005/07/07,16:30,07/07,10786
2005/07/09,22:15,07/09,10786
2005/07/13,14:15,07/13,10786
2005/07/14,11:00,07/14,10786
2005/07/17,11:50,07/17,DIM
2005/07/24,13:50,07/24,DIM
2005/07/24,22:35,07/24,DIM
2005/07/27,05:20,07/27,10792
2005/07/27,07:45,07/27,DIM
2005/07/30,07:40,07/30,10792
2005/08/01,14:15,08/01,10792
2005/08/22,01:30,08/22,10798
2005/08/22,17:15,08/23,10798
2005/08/23,15:00,08/23,10798
2005/08/29,11:10,08/29,DIM
2005/08/31,11:40,08/31,10803
2005/08/31,22:10,08/31,-----
2005/09/03,03:20,09/03,-----
2005/09/05,10:40,09/06,-----
2005/09/07,18:05,09/08,10808
2005/09/09,19:45,09/09,10808
2005/09/10,21:45,09/11,10808
2005/09/11,13:10,09/11,10808
2005/09/13,20:20,09/15,10808
2006/04/30,16:20,05/02,10876
2006/07/06,08:45,07/06,10898
2006/08/16,15:45,08/16,10904
2006/08/26,20:40,08/26,10905
2006/11/05,17:35,11/05,DIM
2006/11/06,10:35,11/06,DIM
2006/11/06,17:45,11/06,10923
2006/12/05,10:50,12/05,10930
2006/12/06,02:00,12/06,10930
2006/12/06,08:30,12/06,10930
2006/12/06,19:00,12/08,10930
2006/12/13,02:45,12/13,10930
2006/12/14,22:30,12/14,10930
2007/01/25,06:55,01/25,10940
2007/05/19,13:02,05/19,10956
2007/12/31,01:05,12/31,10980
2008/03/25,19:05,03/25,10989
2008/04/26,14:23,04/26,DIM
2010/08/01,09:20,08/01,11092
2010/08/07,18:35,08/07,11093
2010/08/18,06:05,08/18,11099
2011/01/13,09:15,01/13,11147
2011/01/27,12:20,01/27,11149
2011/02/13,17:50,02/13,11158
2011/02/15,02:10,02/15,11158
2011/02/24,12:50,02/24,11163
2011/03/07,14:30,03/07,11166
2011/03/07,20:00,03/08,11164
2011/05/09,21:00,05/10,DIM
2011/05/29,21:10,05/30,11227
2011/06/02,08:00,06/02,11227
2011/06/04,07:00,06/04,11222
2011/06/04,22:00,06/07,11222
2011/06/07,06:45,06/07,11226
2011/06/21,03:07,06/21,11236
2011/08/02,06:15,08/02,11261
2011/08/04,04:15,08/05,11261
2011/08/08,18:10,08/08,11263
2011/08/09,08:20,08/09,11263
2011/09/06,02:00,09/06,11283
2011/09/06,22:30,09/07,11283
2011/09/22,11:05,09/22,11302
2011/09/24,12:50,09/24,11302
2011/09/25,05:30,09/25,11302
2011/10/21,13:15,10/21,11319
2011/11/09,13:30,11/09,11343
2011/11/17,20:44,11/17,-----
2011/11/26,07:15,11/27,11353
2011/12/21,03:00,12/21,-----
2011/12/25,18:45,12/25,11387
2012/01/02,15:00,01/02,-----
2012/01/19,15:00,01/20,11402
2012/01/23,04:00,01/24,11402
2012/01/27,18:30,01/28,11402
2012/03/05,04:00,03/05,11429
2012/03/07,01:00,03/08,11429
2012/03/09,04:10,03/09,11429
2012/03/10,17:55,03/11,11429
2012/03/13,17:35,03/13,11429
2012/03/18,00:20,03/18,-----
2012/03/24,00:40,03/24,-----
2012/03/26,23:15,03/26,-----
2012/03/27,21:45,03/27,11440
2012/04/09,12:20,04/09,11451
2012/04/15,02:30,04/15,11461
2012/05/17,01:40,05/17,11476
2012/05/26,20:50,05/26,-----
2012/07/04,17:00,07/04,11513
2012/07/05,22:40,07/05,11515
2012/07/06,23:10,07/07,11515
2012/07/08,16:35,07/08,11515
2012/07/12,16:45,07/13,11520
2012/07/17,14:40,07/18,11520
2012/07/19,05:30,07/19,11520
2012/07/23,02:30,07/23,11520
2012/08/31,20:00,08/31,11563
2012/09/27,23:55,09/28,11577
2012/10/22,01:50,10/22,11598
2013/01/16,22:00,01/17,11650
2013/03/15,07:00,03/15,11692
2013/04/11,07:10,04/11,11719
2013/04/18,18:00,04/18,11719
2013/04/21,20:25,04/21,11723
2013/05/13,02:20,05/13,11748
2013/05/13,16:15,05/13,11748
2013/05/14,01:16,05/14,11748
2013/05/15,01:49,05/15,11748
2013/05/22,13:10,05/24,11745
2013/06/21,03:35,06/21,11777
2013/06/28,01:53,06/28,11777
2013/07/04,20:57,07/04,11787
2013/08/06,02:01,08/06,EP
2013/08/17,20:25,08/18,11818
2013/08/30,02:34,08/31,11836
2013/09/06,22:29,09/06,DIM
2013/09/29,21:53,09/30,EP
2013/10/02,20:46,10/02,DIM
2013/10/05,07:00,10/05,11865
2013/10/11,07:23,10/11,11869
2013/10/13,18:47,10/14,EP
2013/10/22,21:33,10/22,11875
2013/10/25,15:08,10/25,11882
2013/10/26,03:01,10/26,11875
2013/10/26,09:34,10/26,11875
2013/10/27,18:12,10/27,11875
2013/10/28,04:41,10/28,11875
2013/10/28,15:24,10/28,11882
2013/11/04,05:10,11/04,11875
2013/11/07,10:26,11/07,11899
2013/11/19,10:39,11/19,11893
2013/11/29,22:18,11/30,11899
2013/12/05,12:45,12/05,DIM
2013/12/05,20:48,12/05,-----
2013/12/07,07:43,12/07,11909
2013/12/12,03:55,12/12,11912
2013/12/20,08:23,12/20,11927
2013/12/28,17:31,12/28,11928
2014/01/04,17:41,01/04,-----
2014/01/04,19:03,01/05,-----
2014/01/06,07:57,01/06,11936
2014/01/07,18:27,01/08,11943
2014/01/20,22:24,01/20,DIM
2014/02/18,02:16,02/18,EP
2014/02/20,08:05,02/20,11976
2014/02/25,00:56,02/25,11990
2014/03/04,18:24,03/04,12005
2014/03/05,13:33,03/05,-----
2014/03/25,07:52,03/25,EP
2014/03/29,00:12,03/29,12017
2014/03/29,17:59,03/30,12011
2014/04/02,13:42,04/03,12027
2014/04/02,18:49,04/03,12030
2014/04/04,14:02,04/04,12027
2014/04/18,13:05,04/18,12036
2014/05/07,16:24,05/07,12051
2014/05/08,03:21,05/08,12051
2014/05/09,02:40,05/09,12051
2014/05/10,04:32,05/10,12051
2014/06/10,12:58,06/10,12087
2014/06/12,22:14,06/12,12085
2014/07/30,07:44,07/30,EP?
2014/08/01,18:58,08/02,12127
2014/08/22,10:37,08/22,12146
2014/08/25,15:20,08/25,12146
2014/08/25,20:43,08/25,12146
2014/08/28,17:05,08/28,12157
2014/09/01,11:12,09/01,12158
2014/09/09,00:05,09/09,12158
2014/09/10,17:45,09/11,12158
2014/09/20,05:10,09/20,12164
2014/09/22,06:13,09/22,12158
2014/09/23,23:41,09/23,12172
2014/09/24,20:54,09/24,EP
2014/10/02,21:34,10/02,12173
2014/10/10,18:11,10/10,EP
2014/10/21,12:33,10/21,12192
2014/11/08,16:57,11/08,12203
2014/12/13,14:27,12/13,12222
2014/12/17,04:09,12/17,12241
2014/12/17,05:00,12/17,12242
2014/12/18,22:31,12/18,12241
2014/12/21,12:05,12/21,12241
2015/03/03,02:33,03/03,12290
2015/03/06,08:00,03/06,12297
2015/03/10,00:10,03/10,12297
2015/03/11,10:30,03/11,12297
2015/03/24,09:00,03/24,DIM
2015/04/26,03:21,04/26,DIM
2015/05/05,22:24,05/05,12339
2015/05/12,03:00,05/12,EP
2015/06/09,20:23,06/09,12364
2015/06/14,05:26,06/14,12365
2015/06/18,17:42,06/18,12371
2015/06/21,02:33,06/21,12371
2015/06/22,18:20,06/22,12371
2015/06/25,08:35,06/25,12371
2015/07/01,16:08,07/01,DIM
2015/08/22,07:07,08/22,12403
2015/09/18,04:54,09/18,12415
2015/09/20,18:23,09/21,12415
2015/11/04,14:07,11/04,12443
2015/11/09,13:21,11/09,12449
2015/12/16,08:45,12/16,12468
2015/12/23,01:18,12/23,12473
2015/12/28,11:50,12/28,12473
2016/01/02,00:55,01/02,12473
2016/02/05,22:35,02/05,-----
2016/05/04,14:20,05/04,12535
2016/08/15,18:21,08/15,EP
2017/04/23,06:00,04/23,-----
2017/07/14,01:18,07/14,12665
2017/07/23,05:27,07/23,-----
2017/09/04,20:27,09/05,12673
2017/09/06,12:05,09/07,12673
2017/09/10,16:02,09/11,12673
2017/09/12,07:38,09/12,12680
2017/09/17,11:45,09/17,-----
2017/10/18,05:48,10/18,-----
2019/05/03,23:52,05/04,12740
2020/11/29,13:07,11/29,12790
2020/12/07,16:18,12/08,12790
2021/04/17,16:56,04/17,-----
2021/04/19,23:49,04/20,12816
2021/05/07,19:16,05/07,12822
2021/05/28,23:09,05/29,12824
